"Severity","ThreadID","Date","Time","Application","Message"
"Information","pool-2-thread-1","12/08/11","16:44:09",,"/Users/lmajano/Downloads/contentbox-express-acf/www/ROOT/WEB-INF/cfusion/logs/eventgateway.log initialized"
"Information","pool-2-thread-1","12/08/11","16:44:09",,"Starting Event Backend Handlers."
"Information","pool-2-thread-1","12/08/11","16:44:09",,"Initialized EventRequestDispatcher with a Thread Pool size of 1."
"Information","pool-2-thread-1","12/08/11","16:44:09",,"Initializing EventRequestHandler"
"Information","pool-2-thread-1","12/08/11","16:44:09",,"Starting Event Gateways."
"Information","pool-2-thread-2","12/08/11","19:20:44",,"Stopping Event Gateways."
"Information","pool-2-thread-1","12/08/11","19:25:37",,"Starting Event Backend Handlers."
"Information","pool-2-thread-1","12/08/11","19:25:37",,"Initialized EventRequestDispatcher with a Thread Pool size of 1."
"Information","pool-2-thread-1","12/08/11","19:25:37",,"Initializing EventRequestHandler"
"Information","pool-2-thread-1","12/08/11","19:25:37",,"Starting Event Gateways."
"Information","pool-2-thread-2","12/08/11","20:00:26",,"Stopping Event Gateways."
"Information","pool-2-thread-1","12/08/11","20:00:42",,"Starting Event Backend Handlers."
"Information","pool-2-thread-1","12/08/11","20:00:42",,"Initialized EventRequestDispatcher with a Thread Pool size of 1."
"Information","pool-2-thread-1","12/08/11","20:00:42",,"Initializing EventRequestHandler"
"Information","pool-2-thread-1","12/08/11","20:00:42",,"Starting Event Gateways."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:14",,"Stopping Event Gateways."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Starting Event Backend Handlers."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Initialized EventRequestDispatcher with a Thread Pool size of 1."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Initializing EventRequestHandler"
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Starting Event Gateways."
"Information","pool-2-thread-2","12/08/11","20:04:22",,"Stopping Event Gateways."
"Information","pool-2-thread-1","12/08/11","20:06:11",,"Starting Event Backend Handlers."
"Information","pool-2-thread-1","12/08/11","20:06:11",,"Initialized EventRequestDispatcher with a Thread Pool size of 1."
"Information","pool-2-thread-1","12/08/11","20:06:11",,"Initializing EventRequestHandler"
"Information","pool-2-thread-1","12/08/11","20:06:11",,"Starting Event Gateways."
"Information","pool-2-thread-2","12/08/11","20:11:39",,"Stopping Event Gateways."
"Information","pool-2-thread-1","12/08/11","20:14:59",,"Starting Event Backend Handlers."
"Information","pool-2-thread-1","12/08/11","20:14:59",,"Initialized EventRequestDispatcher with a Thread Pool size of 1."
"Information","pool-2-thread-1","12/08/11","20:14:59",,"Initializing EventRequestHandler"
"Information","pool-2-thread-1","12/08/11","20:14:59",,"Starting Event Gateways."
"Information","pool-2-thread-2","12/09/11","10:35:02",,"Stopping Event Gateways."
"Information","pool-2-thread-1","02/01/12","08:43:46",,"Starting Event Backend Handlers."
"Information","pool-2-thread-1","02/01/12","08:43:46",,"Initialized EventRequestDispatcher with a Thread Pool size of 1."
"Information","pool-2-thread-1","02/01/12","08:43:46",,"Initializing EventRequestHandler"
"Information","pool-2-thread-1","02/01/12","08:43:46",,"Starting Event Gateways."
"Information","pool-2-thread-2","02/01/12","08:59:17",,"Stopping Event Gateways."
"Information","pool-2-thread-1","02/01/12","08:59:33",,"Starting Event Backend Handlers."
"Information","pool-2-thread-1","02/01/12","08:59:33",,"Initialized EventRequestDispatcher with a Thread Pool size of 1."
"Information","pool-2-thread-1","02/01/12","08:59:33",,"Initializing EventRequestHandler"
"Information","pool-2-thread-1","02/01/12","08:59:33",,"Starting Event Gateways."
"Information","pool-2-thread-2","02/01/12","09:23:05",,"Stopping Event Gateways."
"Information","pool-2-thread-1","02/01/12","09:23:55",,"Starting Event Backend Handlers."
"Information","pool-2-thread-1","02/01/12","09:23:55",,"Initialized EventRequestDispatcher with a Thread Pool size of 1."
