"Severity","ThreadID","Date","Time","Application","Message"
"Information","pool-2-thread-1","12/08/11","16:44:05",,"/Users/lmajano/Downloads/contentbox-express-acf/www/ROOT/WEB-INF/cfusion/logs/server.log initialized"
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Starting logging..."
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Starting license..."
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Invalid ColdFusion 9 license."
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Invalid ColdFusion 9 license."
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Developer Edition enabled"
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Starting crypto..."
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Starting security..."
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Starting scheduler..."
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Starting WatchService..."
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Starting debugging..."
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Starting sql..."
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Starting mail..."
"Information","pool-2-thread-1","12/08/11","16:44:05",,"Starting runtime..."
"Information","pool-2-thread-1","12/08/11","16:44:06",,"CORBA Configuration not enabled"
"Information","pool-2-thread-1","12/08/11","16:44:06",,"Starting cron..."
"Information","pool-2-thread-1","12/08/11","16:44:06",,"Starting registry..."
"Information","pool-2-thread-1","12/08/11","16:44:06",,"Starting client..."
"Information","pool-2-thread-1","12/08/11","16:44:06",,"The metrics service is disabled for the J2EE edition"
"Information","pool-2-thread-1","12/08/11","16:44:06",,"Starting xmlrpc..."
"Information","pool-2-thread-1","12/08/11","16:44:06",,"Starting graphing..."
"Information","pool-2-thread-1","12/08/11","16:44:08",,"Starting verity..."
"Information","pool-2-thread-1","12/08/11","16:44:08",,"Starting solr..."
"Information","pool-2-thread-1","12/08/11","16:44:08",,"Starting archive..."
"Information","pool-2-thread-1","12/08/11","16:44:08",,"Starting document..."
"Information","pool-2-thread-1","12/08/11","16:44:09",,"Starting eventgateway..."
"Information","pool-2-thread-1","12/08/11","16:44:09",,"Starting FlexAssembler..."
"Information","pool-2-thread-1","12/08/11","16:44:09",,"Starting .NET..."
"Information","pool-2-thread-1","12/08/11","16:44:09",,"Starting Monitoring..."
"Information","pool-2-thread-1","12/08/11","16:44:09",,"ColdFusion started"
"Information","http-bio-8085-exec-4","12/08/11","16:46:32",,"Pool Manager Started"
"Information","pool-2-thread-2","12/08/11","19:20:49",,"ColdFusion stopped"
"Information","pool-2-thread-1","12/08/11","19:25:34",,"Starting logging..."
"Information","pool-2-thread-1","12/08/11","19:25:34",,"Starting license..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Invalid ColdFusion 9 license."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Invalid ColdFusion 9 license."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Developer Edition enabled"
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting crypto..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting security..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting scheduler..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting WatchService..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting debugging..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting sql..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Pool Manager Started"
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting mail..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting runtime..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"CORBA Configuration not enabled"
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting cron..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting registry..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting client..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"The metrics service is disabled for the J2EE edition"
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting xmlrpc..."
"Information","pool-2-thread-1","12/08/11","19:25:35",,"Starting graphing..."
"Information","pool-2-thread-1","12/08/11","19:25:36",,"Starting verity..."
"Information","pool-2-thread-1","12/08/11","19:25:36",,"Starting solr..."
"Information","pool-2-thread-1","12/08/11","19:25:36",,"Starting archive..."
"Information","pool-2-thread-1","12/08/11","19:25:36",,"Starting document..."
"Information","pool-2-thread-1","12/08/11","19:25:37",,"Starting eventgateway..."
"Information","pool-2-thread-1","12/08/11","19:25:37",,"Starting FlexAssembler..."
"Information","pool-2-thread-1","12/08/11","19:25:37",,"Starting .NET..."
"Information","pool-2-thread-1","12/08/11","19:25:37",,"Starting Monitoring..."
"Information","pool-2-thread-1","12/08/11","19:25:37",,"ColdFusion started"
"Information","pool-2-thread-2","12/08/11","20:00:31",,"ColdFusion stopped"
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting logging..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting license..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Invalid ColdFusion 9 license."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Invalid ColdFusion 9 license."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Developer Edition enabled"
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting crypto..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting security..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting scheduler..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting WatchService..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting debugging..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting sql..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Pool Manager Started"
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting mail..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting runtime..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"CORBA Configuration not enabled"
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting cron..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting registry..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting client..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"The metrics service is disabled for the J2EE edition"
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting xmlrpc..."
"Information","pool-2-thread-1","12/08/11","20:00:40",,"Starting graphing..."
"Information","pool-2-thread-1","12/08/11","20:00:42",,"Starting verity..."
"Information","pool-2-thread-1","12/08/11","20:00:42",,"Starting solr..."
"Information","pool-2-thread-1","12/08/11","20:00:42",,"Starting archive..."
"Information","pool-2-thread-1","12/08/11","20:00:42",,"Starting document..."
"Information","pool-2-thread-1","12/08/11","20:00:42",,"Starting eventgateway..."
"Information","pool-2-thread-1","12/08/11","20:00:42",,"Starting FlexAssembler..."
"Information","pool-2-thread-1","12/08/11","20:00:42",,"Starting .NET..."
"Information","pool-2-thread-1","12/08/11","20:00:42",,"Starting Monitoring..."
"Information","pool-2-thread-1","12/08/11","20:00:42",,"ColdFusion started"
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:18",,"ColdFusion stopped"
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting logging..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting license..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Invalid ColdFusion 9 license."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Invalid ColdFusion 9 license."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Developer Edition enabled"
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting crypto..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting security..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting scheduler..."
"Error","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Unable to initialize Scheduler service: coldfusion.server.ServiceException: Shutdown in progress"
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting WatchService..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting debugging..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting sql..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Pool Manager Started"
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting mail..."
"Error","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Unable to initialize Mail service: coldfusion.server.ServiceException: The Scheduler service is not available."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting runtime..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"CORBA Configuration not enabled"
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting cron..."
"Error","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Unable to initialize Cron service: coldfusion.server.ServiceFactory$ServiceNotAvailableException: The Scheduler service is not available. This exception is usually caused by service startup failure. Check your server configuration."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting registry..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting client..."
"Error","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Unable to initialize Client Storage service: coldfusion.server.ServiceFactory$ServiceNotAvailableException: The Scheduler service is not available. This exception is usually caused by service startup failure. Check your server configuration."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"The metrics service is disabled for the J2EE edition"
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:19",,"Starting xmlrpc..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Starting graphing..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Starting verity..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Starting solr..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Starting archive..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Starting document..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Starting eventgateway..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Starting FlexAssembler..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Starting .NET..."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Starting Monitoring..."
"Error","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"Unable to initialize Monitoring service: coldfusion.server.ServiceFactory$ServiceNotAvailableException: The Scheduler service is not available. This exception is usually caused by service startup failure. Check your server configuration."
"Information","ContainerBackgroundProcessor[StandardEngine[Catalina]]","12/08/11","20:04:20",,"ColdFusion started"
"Error","pool-2-thread-2","12/08/11","20:04:22",,"The ClientScope service is not available. This exception is usually caused by service startup failure. Check your server configuration."
"Error","pool-2-thread-2","12/08/11","20:04:22",,"The Cron service is not available. This exception is usually caused by service startup failure. Check your server configuration."
"Error","pool-2-thread-2","12/08/11","20:04:22",,"The MailSpool service is not available. This exception is usually caused by service startup failure. Check your server configuration."
"Error","pool-2-thread-2","12/08/11","20:04:22",,"The Scheduler service is not available. This exception is usually caused by service startup failure. Check your server configuration."
"Error","pool-2-thread-2","12/08/11","20:04:27",,"The Monitoring service is not available. This exception is usually caused by service startup failure. Check your server configuration."
"Information","pool-2-thread-2","12/08/11","20:04:27",,"ColdFusion stopped"
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting logging..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting license..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Invalid ColdFusion 9 license."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Invalid ColdFusion 9 license."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Developer Edition enabled"
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting crypto..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting security..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting scheduler..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting WatchService..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting debugging..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting sql..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Pool Manager Started"
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting mail..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting runtime..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"CORBA Configuration not enabled"
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting cron..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting registry..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting client..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"The metrics service is disabled for the J2EE edition"
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting xmlrpc..."
"Information","pool-2-thread-1","12/08/11","20:06:09",,"Starting graphing..."
"Information","pool-2-thread-1","12/08/11","20:06:11",,"Starting verity..."
"Information","pool-2-thread-1","12/08/11","20:06:11",,"Starting solr..."
"Information","pool-2-thread-1","12/08/11","20:06:11",,"Starting archive..."
"Information","pool-2-thread-1","12/08/11","20:06:11",,"Starting document..."
"Information","pool-2-thread-1","12/08/11","20:06:11",,"Starting eventgateway..."
